Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65f32b30fad7a157470574a5,6121664e030e824ff03ae0e9,APPROVED,Not Applicable,2024-03-14T16:53:13.626000Z,2024-03-14T17:30:31.844000Z,2024-03-14T17:30:46.649000Z,2024-03-14T17:32:46.061962Z,2239.0,C1JX727W,409,English,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
65f32b3051d88f625cb8e6dc,615721e948c0c39df53e6f2d,APPROVED,Not Applicable,2024-03-14T16:52:00.619000Z,2024-03-14T17:11:51.790000Z,2024-03-14T17:11:58.345000Z,2024-03-14T17:11:52.378263Z,1192.0,C1JX727W,127,"Portuguese, English",22,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Unemployed (and job seeking)
65f32b35adf0f4f2a9297aa2,5b9e10d4f074140001051011,APPROVED,Not Applicable,2024-03-14T16:52:53.127000Z,2024-03-14T17:14:13.349000Z,2024-03-14T17:14:30.579000Z,2024-03-14T17:14:13.990483Z,1281.0,C1JX727W,516,"Polish, English",27,Female,White,Poland,Poland,Poland,Polish,No,Full-Time
65f32b363a114f65182196e2,5f98383ec3a3c80b6c8190a6,APPROVED,Not Applicable,2024-03-14T16:52:10.432000Z,2024-03-14T17:08:29.190000Z,2024-03-14T17:08:32.909000Z,2024-03-14T17:08:29.738689Z,979.0,C1JX727W,175,"English, Portuguese, Spanish",24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
65f32b3e3999dbc20efdee9b,5e792d23c826500d4c0ccec0,APPROVED,Not Applicable,2024-03-14T16:52:36.914000Z,2024-03-14T17:10:19.497000Z,2024-03-14T17:10:43.127000Z,2024-03-14T17:10:20.010614Z,1063.0,C1JX727W,451,"English, Spanish",54,Female,White,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,Full-Time
65f32b3e86ba440c4e7bc656,61330f324c6c15a907dc2706,APPROVED,Not Applicable,2024-03-14T16:52:32.072000Z,2024-03-14T17:12:19.428000Z,2024-03-14T17:12:23.041000Z,2024-03-14T17:12:20.158915Z,1188.0,C1JX727W,298,"Afrikaans, English",24,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
65f32b46f921363ba0fbf82a,60c34e849f95e3038cf0e575,APPROVED,Not Applicable,2024-03-14T16:52:22.512000Z,2024-03-14T17:22:55.577000Z,2024-03-14T17:23:15.787000Z,2024-03-14T17:22:56.083197Z,1834.0,C1JX727W,46,"Portuguese, Spanish, English",23,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Unemployed (and job seeking)
65f32b472188bfcd9fdefcae,5bf801e3361a9b00012654c5,APPROVED,Not Applicable,2024-03-14T16:52:23.018000Z,2024-03-14T16:59:51.122000Z,2024-03-14T17:02:10.042000Z,2024-03-14T16:59:52.995959Z,449.0,C1JX727W,445,"Polish, English",24,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
65f32b48670f1e0d963411e2,607dd346cd0288f394c968c5,APPROVED,Not Applicable,2024-03-14T16:53:40.730000Z,2024-03-14T17:16:35.382000Z,2024-03-14T17:16:45.104000Z,2024-03-14T17:16:35.973075Z,1375.0,C1JX727W,103,"Italian, English, Spanish",25,Female,White,Italy,Czech Republic,Italy,Italian,No,Full-Time
65f32b5e5ef88d45688b1316,653e80c17840d9676c182274,APPROVED,Not Applicable,2024-03-14T16:52:56.812000Z,2024-03-14T17:11:35.005000Z,2024-03-14T17:12:14.531000Z,2024-03-14T17:11:35.655794Z,1119.0,C1JX727W,74,"English, Italian, Russian, Ukrainian",48,Female,White,Russian Federation,Italy,Russian Federation,Russian,No,Unemployed (and job seeking)
65f32b6096c129445eec2769,659c22fab275d3a7de69e4ee,APPROVED,Not Applicable,2024-03-14T16:53:39.823000Z,2024-03-14T17:28:06.344000Z,2024-03-14T17:28:17.915000Z,2024-03-14T17:28:08.975958Z,2067.0,C1JX727W,12,"English, Spanish",20,Female,Mixed,Mexico,Mexico,Mexico,Spanish,Yes,Unemployed (and job seeking)
65f32b6420fcdc20351a0a99,5bc4416a5f29a80001373c39,APPROVED,Not Applicable,2024-03-14T16:53:02.082000Z,2024-03-14T17:08:54.574000Z,2024-03-14T17:08:57.200000Z,2024-03-14T17:08:55.142104Z,953.0,C1JX727W,199,"Afrikaans, English",51,Female,White,South Africa,South Africa,South Africa,English,No,Unemployed (and job seeking)
